idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
170.0, 1000.0, 1538062360.0, 169.44, 169.44, 169.38, 169.39, 82.0, 169.41, 26.0, 0, 169.43
171.0, 1000.0, 1538062365.0, 169.38, 169.39, 169.36, 169.39, 33.0, 169.39, 13.0, 1, 169.43
172.0, 1000.0, 1538062370.0, 169.4, 169.4, 169.38, 169.38, 3.0, 169.39, 2.0, 0, 169.43
173.0, 1000.0, 1538062375.0, 169.39, 169.4, 169.39, 169.39, 7.0, 169.39, 5.0, 0, 169.43
174.0, 1000.0, 1538062380.0, 169.4, 169.45, 169.4, 169.44, 171.0, 169.44, 23.0, 1, 169.53
175.0, 1000.0, 1538062385.0, 169.45, 169.47, 169.43, 169.46, 35.0, 169.45, 7.0, 1, 169.53
176.0, 1000.0, 1538062390.0, 169.48, 169.5, 169.48, 169.49, 100.0, 169.49, 8.0, 1, 169.53
177.0, 1000.0, 1538062395.0, 169.47, 169.48, 169.47, 169.47, 11.0, 169.47, 4.0, 0, 169.53
178.0, 1000.0, 1538062400.0, 169.48, 169.5, 169.48, 169.5, 9.0, 169.49, 9.0, 1, 169.53
179.0, 1000.0, 1538062405.0, 169.5, 169.56, 169.5, 169.56, 29.0, 169.53, 25.0, 1, 169.53
180.0, 1000.0, 1538062410.0, 169.56, 169.57, 169.55, 169.55, 58.0, 169.56, 21.0, 0, 169.53
181.0, 1000.0, 1538062415.0, 169.56, 169.62, 169.55, 169.61, 61.0, 169.6, 35.0, 1, 169.53
182.0, 1000.0, 1538062420.0, 169.61, 169.62, 169.58, 169.58, 153.0, 169.6, 50.0, 0, 169.53
183.0, 1000.0, 1538062425.0, 169.58, 169.58, 169.55, 169.56, 23.0, 169.57, 13.0, 0, 169.53
184.0, 1000.0, 1538062430.0, 169.56, 169.6, 169.56, 169.59, 20.0, 169.58, 18.0, 1, 169.53
185.0, 1000.0, 1538062435.0, 169.59, 169.59, 169.58, 169.58, 20.0, 169.58, 12.0, 0, 169.53
186.0, 1000.0, 1538062440.0, 169.57, 169.58, 169.53, 169.54, 16.0, 169.55, 7.0, 0, 169.61
187.0, 1000.0, 1538062445.0, 169.54, 169.56, 169.53, 169.56, 12.0, 169.54, 11.0, 1, 169.61
188.0, 1000.0, 1538062450.0, 169.56, 169.6, 169.56, 169.6, 7.0, 169.58, 7.0, 1, 169.61
189.0, 1000.0, 1538062455.0, 169.6, 169.6, 169.57, 169.59, 37.0, 169.59, 12.0, 0, 169.61
190.0, 1000.0, 1538062460.0, 169.59, 169.6, 169.58, 169.59, 11.0, 169.59, 10.0, 0, 169.61
191.0, 1000.0, 1538062465.0, 169.58, 169.61, 169.55, 169.61, 41.0, 169.59, 16.0, 1, 169.61
192.0, 1000.0, 1538062470.0, 169.61, 169.63, 169.61, 169.63, 13.0, 169.62, 8.0, 1, 169.61
193.0, 1000.0, 1538062475.0, 169.64, 169.66, 169.61, 169.62, 17.0, 169.64, 12.0, 0, 169.61
194.0, 1000.0, 1538062480.0, 169.61, 169.64, 169.58, 169.64, 100.0, 169.61, 23.0, 1, 169.61
195.0, 1000.0, 1538062485.0, 169.64, 169.66, 169.64, 169.65, 25.0, 169.64, 12.0, 1, 169.61
196.0, 1000.0, 1538062490.0, 169.67, 169.67, 169.65, 169.66, 7.0, 169.66, 6.0, 0, 169.61
197.0, 1000.0, 1538062495.0, 169.66, 169.73, 169.66, 169.73, 14.0, 169.7, 13.0, 1, 169.61
198.0, 1000.0, 1538062500.0, 169.7, 169.72, 169.68, 169.7, 65.0, 169.69, 10.0, 0, 169.71
199.0, 1000.0, 1538062505.0, 169.72, 169.72, 169.68, 169.68, 23.0, 169.71, 14.0, 0, 169.71
200.0, 1000.0, 1538062510.0, 169.68, 169.71, 169.67, 169.7, 27.0, 169.7, 20.0, 1, 169.71
201.0, 1000.0, 1538062515.0, 169.71, 169.71, 169.69, 169.69, 6.0, 169.69, 4.0, 0, 169.71
202.0, 1000.0, 1538062520.0, 169.69, 169.69, 169.68, 169.69, 7.0, 169.69, 7.0, 0, 169.71
